"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"1";"HEAD-MOUNTED DISPLAY APPARATUS IN WHICH THE GLASS IS TILTED USING GESTURE AND TILT CONTROL METHOD USING GESTURE FOR A HEAD-MOUNTED DISPLAY APPARATUS";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION [KR]";"KR102741803B1 
KR20230108551A";"2022-01-11";"G02B27/01 
G06F1/16 
G06F3/01";"G02B27/0172 (KR) 
G02B27/0176 (KR) 
G06F1/163 (KR) 
G06F3/011 (KR) 
G06F3/017 (KR) 
G02B2027/014 (KR) 
G02B2027/0187 (KR)";"2023-07-18 
2024-12-16";"2023-07-18";"087423634";
"2";"CALIBRATION OF LASER POWER MONITOR IN AN IMAGING SYSTEM OF A WEARABLE HEAD MOUNTED DISPLAY";"GIBSON GREGORY THEODORE [US] 
WOLTMAN SCOTT JEFFREY [US]";"MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US10608409B1 
US2020127440A1";"2018-10-19";"G02B27/01 
H01S5/0683";"G02B27/0172 (EP,US) 
H01S5/0683 (US) 
G02B2027/0132 (US) 
G02B2027/0178 (EP)";"2020-04-23 
2020-03-31";"2020-03-31";"068165742";
"3";"POSITIONING AND CONTROLLING AUGMENTS PRESENTED WITH AUGMENTED-REALITY GLASSES USING SENSOR DATA INDICATING HEAD POSITION, EYE GAZE, AND IN-AIR HAND GESTURES";"MC LAUGHLIN BRIAN JOHN [US] 
MALICOAT BRANDON [US] 
MARTIN PAUL [US]";"META PLATFORMS TECH LLC [US]";"US20260086649A1";"2024-09-20";"G06F3/01";"G06F3/011 (EP) 
G06F3/012 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US)";"2026-03-26";"2026-03-26";"099141657";
"4";"AUGMENTED REALITY GLASSES WITH OBJECT RECOGNITION USING ARTIFICAL INTELLIGENCE";"HART WILLIAM [US] 
DEFRANK EDMOND ARTHUR [US] 
DEFRANK NICOLAS [US] 
DEFRANK ANTONIO [US] 
JONES ALLEN MARK [US]";"HART WILLIAM [US] 
DEFRANK EDMOND ARTHUR [US] 
DEFRANK NICOLAS [US] 
DEFRANK ANTONIO [US] 
JONES ALLEN MARK [US]";"US2025306403A1";"2020-10-29";"A61B3/11 
A61B3/12 
A61B3/14 
A61B5/18 
G02C11/00 
G02C7/04";"A61B3/112 (EP,US) 
A61B3/14 (EP,US) 
A61B5/0077 (EP) 
A61B5/163 (EP) 
G02C11/10 (EP,US) 
G02C7/04 (US) 
A61B3/12 (EP,US) 
A61B5/18 (US) 
G02C7/086 (EP)";"2025-10-02";"2025-10-02";"097177734";
"5";"Public devices connected to augmented reality glasses having gaze and secondary input sensors";"CLEMENTS SIGMUND LINDSAY [CA]";"CLEMENTS SIGMUND LINDSAY [CA]";"US12511014B1";"2014-03-01";"G06F3/01 
G06F3/04817 
G06T19/00";"B66B1/468 (EP) 
G01C21/3682 (EP) 
G06F3/013 (EP,US) 
G06F3/04817 (EP,US) 
G06F3/0482 (EP) 
G06F3/167 (EP) 
G06Q20/1085 (EP) 
G06Q20/12 (EP) 
G06Q20/18 (EP) 
G06Q20/322 (EP) 
G06Q20/3221 (EP) 
G06Q20/3223 (EP) 
G06Q20/3224 (EP) 
G06Q20/325 (EP) 
G06Q20/327 (EP) 
G06Q20/351 (EP) 
G06Q20/401 (EP) 
G06T19/006 (US) 
G07F19/211 (EP) 
G07F9/001 (EP) 
G07F9/009 (EP) 
G07G1/0036 (EP) 
H04L67/12 (EP) 
H04L67/125 (EP) 
H04L67/131 (EP) 
H04M1/72454 (EP) 
B66B2201/4615 (EP) 
B66B2201/4638 (EP) 
G06F3/147 (EP) 
G06Q50/12 (EP)";"2025-12-30";"2025-12-30";"098263308";
"6";"AUGMENTED REALITY HEAD MOUNTED DISPLAY USING SMART PHONE";"PARK SUNG HYO [KR]";"DEJAVU MEDIA CO LTD [KR]";"KR20190019685A";"2017-08-18";"G02B27/01";"G02B27/017 (KR) 
G02B2027/0132 (KR)";"2019-02-27";"2019-02-27";"065560870";
"7";"HEAD MOUNTED DISPLAY";"FRANKLIN JEREMY C 
SAUERS JOHN C 
NESS TIMOTHY J 
MURCIN MICHAEL 
SINGAMSETTI DURGA 
OLSON JOHN C 
ZHANG TONY Y 
SONG YU 
A N ZIMMERMAN 
ANG JEFFREY LI 
BEHESHTI MAHESH S 
BABIARZ KATHLEEN ANN 
DUNSMORE DAVID J 
MIRABATTULA ESTEBAN 
DYBENKO JESSE T 
CAMPO LAURA M 
SELVAKUMAR SARAVANAN 
KUBO HIROSHI 
HE YINJUAN 
JOHNSON NICHOLAS G 
GROVE STEVEN MARK 
BIGDELI STEFANO 
LIU DI 
TRECAIRE BENJAMIN NICHOLAS 
MARIC IVANA S 
HUO EDWARD S 
SAMUEL G SMITH 
VANDYKE JAMES W 
DALKE CHRISTOPHER E 
HUSSAIN MAHMUD F 
TAO JIA 
LIN WEY-JIUN 
KUIJALVO JAN K 
ROTHKOPF FLETCHER R 
DEY STEPHEN E 
HOBSON PHILLIP M 
MONTWEGAN ANDREW S 
SHAH RAJIV 
MAIER MARTIN A 
HOENIG JENS 
JULIAN JAEDE 
JO YOONHOO 
WANG FENG CHI 
LOCKWELL MICHAEL J 
EVANS NICHOLAS DAVID 
MEADE PAUL 
GEORGE YAAKOV 
SLUPEKX JAN L 
CHANG RAY L 
SORRENTINO III WILLIAM A 
IVE JONATHAN 
ALAN C DAY 
LEMAY STEPHEN O 
KIM SEUNG-WOOK 
H WILLIAMSON 
J MENDES 
MARC NEWSON 
MOTTA RICARDO J 
MILLER BENJAMIN D 
BROWNSTEIN CRAIG A 
WILBURN BENSON S 
PIETRANCHI BRUNO 
OLSEN MICHAEL C 
LUM DAVID W 
VALKO EDWARD A 
MIHERI GOPAL B 
CUI WEI 
SCHRECHTEN MICHAEL B 
SLUTSKY MICHAEL 
BONNIER NICOLAS P 
WU JIAYING 
GE ZHIBING 
SPRAGUE WILLIAM W 
KNEPWAY BRYAN 
BUCKLER KEITH 
WEISS THOMAS 
LERNER ANDREW R 
ZHANG ARTHUR YASHENG 
CHEN CHENG 
STAHL GEOFFREY 
NAJAFI HAMID 
MATLIN JOHN L 
FAULKNER JASON M 
CHESLITZKY KIRK B 
BERG ONDREJ Y 
KAUFMANN PETER 
SENGRAB TERRY 
ZENG YI";"APPLE INC";"CN120949450A";"2023-05-15";"G02B27/01 
G02C3/00 
G02C3/02";"G02B1/10 (KR) 
G02B27/017 (EP,CN,GB) 
G02B27/0172 (EP,GB) 
G02B27/0176 (EP,CN,GB,KR) 
G02B3/005 (KR) 
G02C3/003 (CN) 
G02C3/02 (CN) 
G02F1/133504 (KR) 
G02F1/133512 (KR) 
G02F1/133606 (KR) 
G02B2027/0178 (CN)";"2025-11-14";"2025-03-26";"094771893";
"8";"HEAD MOUNTED DISPLAY DEVICE AUTOMATICALLY RESIZED BY USING ULTRA-PRECISION MOTOR AND DISTANCE MEASURING SENSOR";"CHOI CHIWON [KR] 
HAM DONG HO [KR]";"P&C SOLUTION [KR]";"WO2023277322A1";"2021-07-01";"G02B27/00 
G02B27/01";"G02B27/00 (EP) 
G02B27/0093 (KR) 
G02B27/01 (EP) 
G02B27/0176 (KR)";"2023-01-05";"2023-01-05";"084690397";
"9";"CONTEXTUAL ADJUSTMENT TO AUGMENTED REALITY GLASSES";"RAKSHIT SARBAJIT K [IN] 
KEEN MARTIN G [US] 
GANCI JR  JOHN M [US] 
BOSTICK JAMES E [US]";"IBM [US]";"US10921595B2 
US2020004017A1";"2018-06-29";"G02B27/00 
G02B27/01 
G06F3/0346 
H04N5/262";"G02B27/0093 (EP,US) 
G02B27/0172 (EP,US) 
G02B27/0179 (EP) 
G06F3/012 (EP) 
G06F3/0346 (US) 
H04N5/2628 (US) 
G02B2027/014 (EP) 
G02B2027/0158 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US)";"2020-01-02 
2021-02-16";"2020-01-02";"069054631";
"10";"WEARABLE IMAGE MANIPULATION AND CONTROL SYSTEM WITH MICRO-DISPLAYS AND AUGMENTATION OF VISION AND SENSING IN AUGMENTED REALITY GLASSES";"FREEMAN MICHAEL HAYES [US] 
FREEMAN RICHARD C [US] 
FREEMAN MITCHAEL C [US] 
BOSS CHAD [US] 
BOSS JORDAN [US]";"RAYTRX LLC [US]";"US11461936B2 
US2019385342A1";"2015-03-17";"A61B3/113 
G06F3/01 
G06T11/00";"A61B3/113 (US) 
G06F3/011 (EP) 
G06F3/013 (EP) 
G06F3/017 (EP,US) 
G06T11/00 (EP,US) 
G06T19/006 (EP)";"2019-12-19 
2022-10-04";"2019-12-19";"068838737";
"11";"Social interaction equipment of mixed reality, system and head-mounted display equipment";"YANG YUAN 
ZHANG YUANYUAN";"SHENZHEN YUANDIAN INNOVATIVE DESIGN CO LTD";"CN106527678A 
CN106527678B";"2016-04-15";"G06F3/01 
H04L12/58";"G06F3/012 (CN) 
G06F3/016 (CN) 
H04L51/52 (CN) 
G06F2203/012 (CN) 
G06F2203/014 (CN)";"2017-03-22 
2019-04-09";"2017-03-22";"058358056";
"12";"DROP PROTECTION COMPONENTS FOR AUGMENTED-REALITY GLASSES";"OCKFEN ALEX [US] 
SAWYER KEVIN [US] 
CASTILLO CANALES PABLO [US] 
ELABBASI NAGI HOSNI [US] 
FARRELL RICHARD [US] 
WEST RODNEY [US] 
RIECK RYAN [US]";"META PLATFORMS TECH LLC [US]";"US2025383546A1";"2024-06-13";"G02B27/01";"G02B27/0172 (EP,US) 
G02B2027/0178 (EP,US)";"2025-12-18";"2025-12-18";"098013077";
"13";"WEARABLE IMAGE MANIPULATION AND CONTROL SYSTEM WITH HIGH RESOLUTION MICRO-DISPLAYS AND DYNAMIC OPACITY AUGMENTATION IN AUGMENTED REALITY GLASSES";"FREEMAN MICHAEL HAYES [US] 
FREEMAN BRIG GEN RICHARD C [US] 
FREEMAN MITCHAEL C [US] 
BOSS CHAD [US] 
BOSS JORDAN [US] 
SANTEE BRIAN [US] 
CARY DAVID [US]";"RAYTRX LLC [US]";"US12210156B2 
US2021382312A1";"2015-03-17";"G02B27/01 
G06F3/01 
G09G5/00 
G09G5/377";"G02B27/0172 (EP,US) 
G06F3/011 (EP) 
G06F3/012 (EP) 
G06F3/013 (EP,US) 
G06F3/0346 (EP) 
G09G3/002 (EP) 
G09G5/003 (US) 
G09G5/377 (US) 
G02B2027/0118 (US) 
G02B2027/0134 (EP) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP) 
G09G2354/00 (EP,US) 
G09G2360/144 (EP)";"2021-12-09 
2025-01-28";"2019-11-07";"068385099";
