bigram,n
real time,122
visually impaired,116
object detection,65
augmented reality,59
speech recognition,43
audio feedback,38
sign language,38
impaired individuals,37
impaired people,37
blind people,35
deep learning,34
machine learning,34
real world,27
springer nature,25
assistive technology,24
computer vision,24
hearing impaired,24
rights reserved,22
artificial intelligence,21
object recognition,21
obstacle detection,21
owner author,21
wearable devices,21
assistive technologies,18
visual impairments,16
