word,freq
smart glasses,254
augmented reality,112
assistive technology,49
deep learning,43
object detection,39
wearable technology,39
wearable devices,39
visually impaired,38
wearables,36
smart eyewear,35
smart glass,33
machine learning,30
artificial intelligence,30
computer vision,26
wearable device,25
wearable,24
virtual reality,22
visual impairment,21
iot,19
wearable sensors,18
obstacle detection,17
wearable computing,16
accessibility,14
mixed reality,14
human activity recognition,14
internet of things,13
face recognition,13
eye tracking,12
object recognition,12
opencv,11
head-mounted display,11
internet of things (iot),10
image processing,10
google glass,10
raspberry pi,9
human-computer interaction,9
sensors,9
eyewear,9
head-mounted displays,9
privacy,9
assistive technologies,8
low vision,8
yolo,8
ultrasonic sensor,8
navigation,8
technology,7
heart rate,7
interactions,7
obstacle avoidance,7
wearable smart glasses,7
electrooculography,7
tinyml,6
imu,6
hmd,6
emotion recognition,6
ocr,6
usability,6
image recognition,6
education,6
nursing,6
ultrasonic sensors,6
wearable sensing,6
wearable system,6
convolutional neural network,6
visually impaired people,6
glasses,6
neural network,5
telemedicine,5
smart-glasses,5
inertial measurement unit,5
extended reality,5
smartwatch,5
hololens,5
wearable electronics,5
mobile application,5
blind,5
egocentric vision,5
llm,5
edge computing,5
wearable electronic devices,5
eeg,5
human-centered computing,5
acoustic sensing,5
text-to-speech,5
signal processing,5
speech recognition,5
affective computing,5
user experience,5
security,5
sensor,5
android,5
digital farming,4
gaze tracking,4
text recognition,4
vision impairment,4
ai assistance,4
context-aware system,4
augmented reality (ar),4
multimodal sensing,4
multimodal interaction,4
large language models,4
arduino,4
microcontroller,4
mobile health,4
indoor localization,4
transfer learning,4
ubiquitous computing,4
optical character recognition,4
embedded systems,4
hands-free input,4
cyber-physical systems,4
visually impaired navigation,4
cnn,4
real-time object detection,4
facial recognition,4
wearable antenna,4
hearing impaired,4
smart devices,4
ehealth,4
blind people,4
indoor navigation,4
spatial audio,4
mobile devices,4
heads-up computing,4
blind and visually impaired,4
activity recognition,4
visualization,4
tts,4
face detection,4
industry 4.0,4
wireless communication,4
human computer interaction (hci),4
health 4.0,4
emergency care,3
neural networks,3
gesture recognition,3
eye-tracking,3
ar glasses,3
blink detection,3
eye blink,3
mixed reality (mr),3
storytelling,3
dataset,3
speech enhancement,3
metaverse,3
mobile computing,3
genai,3
arduino uno,3
ultrasonic,3
audio/visual prompting,3
