"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Sara G.; Todde G.; Pinna D.; Caria M.","Sara, Gabriele (57211622259); Todde, Giuseppe (56730866000); Pinna, Daniele (58952460000); Caria, Maria (36797722700)","57211622259; 56730866000; 58952460000; 36797722700","Investigating the intention to use augmented reality technologies in agriculture: Will smart glasses be part of the digital farming revolution?","2024","Computers and Electronics in Agriculture","224","","109252","","","13","10.1016/j.compag.2024.109252","https://www.scopus.com/pages/publications/85198973492?origin=resultslist","Department of Agricultural Sciences, University of Sassari, Viale Italia, Sassari, 39A – 07100, Italy","Sara G., Department of Agricultural Sciences, University of Sassari, Viale Italia, Sassari, 39A – 07100, Italy; Todde G., Department of Agricultural Sciences, University of Sassari, Viale Italia, Sassari, 39A – 07100, Italy; Pinna D., Department of Agricultural Sciences, University of Sassari, Viale Italia, Sassari, 39A – 07100, Italy; Caria M., Department of Agricultural Sciences, University of Sassari, Viale Italia, Sassari, 39A – 07100, Italy","Agricultural revolutions have always been influenced by the historical context and driven by existing technologies. Currently, the world is pervaded by digital technologies that will represent a further step forward the evolution of the agricultural sector. Different digital technologies are being use by farmers to support the precise management of the farm. Smart glasses for augmented reality are promising digital technologies for the agricultural context, and their potential applications have been highlighted by several recent studies. These devices allow the real-time overlay of precise information on the elements of interest, providing farmers with specific data for supporting their activities. Although smart glasses and augmented reality are potentially valuable tools, it will be valuable to assess the actual willingness of farmers to use these devices in the context of the digital agricultural revolution. Therefore, this study aims to analyze the factors influencing farmers’ intentions to use smart glasses and augmented reality technologies. For this purpose, in the survey the extended version of technology acceptance model (TAM) was used. The original TAM was extended by adding relevant factors such as perceived benefit, compatibility, and self-efficacy. These factors were select based on a bibliography search for the study on the acceptance of smart farming technologies and augmented reality devices. The structural equation modeling technique was applied to analyze the questionnaire responses with a tow step approach. First, the measurement model was analyzed by performing a confirmatory factor analysis (CFA). Then, was evaluated the structural model by assessing the relationship between the factors to test the formulated hypothesis. All the factors considered were validate during the measurement model analysis, except for self-efficacy, which was removed to improve the model fit. The results show that attitude, perceived benefit, and compatibility directly influenced the agricultural stakeholders’ acceptance of smart glasses as a new and innovative tool to support on-farm activities. Moreover, to allow an appropriate diffusion and implementation of augmented reality technologies among future farmers and technicians, the integration and intercommunicability between smart glasses and other technologies already adopted in agricultural farms, will be crucial. © 2024 The Authors","Augmented reality; Digital farming; Head-wearable device; Structural equation modeling; Technology acceptance model","Agricultural technology; Digital devices; Factor analysis; Farms; Glass; Multivariant analysis; Structural analysis; Wearable technology; Augmented reality technology; Digital farming; Digital technologies; Head-wearable device; Intention to use; Perceived benefits; Smart glass; Structural equation models; Technology acceptance model; Wearable devices; agricultural management; agricultural technology; equipment; farming system; numerical model; psychology; stakeholder; virtual reality; willingness to pay; Augmented reality","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85198973492"
"Chowdhury M.R.; Ghosh A.; Bari M.F.; Sen S.","Chowdhury, Meghna Roy (57889601500); Ghosh, Archisman (58275919700); Bari, Md Faizul (57225053456); Sen, Shreyas (24473847600)","57889601500; 58275919700; 57225053456; 24473847600","Leveraging Ultra-Law-Power Wearables Using Distributed Neural Networks","2024","2024 IEEE 20th International Conference on Body Sensor Networks, BSN 2024 - Proceedings","","","","","","1","10.1109/BSN63547.2024.10780699","https://www.scopus.com/pages/publications/85215080265?origin=resultslist","","","Traditional deep learning models incur high computational overhead (approximately 1-30W) and are unsuitable for Ultra-Low-Power (ULP) wearable systems like smart glasses. In contrast, TinyML architectures are power-efficient but less accurate. We propose distributing a neural network (NN) between a ULP wearable node and a resource-rich hub to maintain high accuracy and low power consumption for applications like human-machine vision. Output features from the node are transmitted to the hub via low-power communication, where the remaining network runs on traditional GPUs. We introduce a Figure of Merit (FoM) to determine the optimal NN distribution point and a customized multiplier unit for ULP operation. Achieving ULP of 284μW and 9mW for different Autoencoder (AE) networks, our approach is 700× lower in power consumption compared to traditional GPU implementation.  © 2024 IEEE.","Autoencoder; GPU; Neural Network; power-efficient MAC; tinyML; ultra-low power; wearables","Computer graphics equipment; Deep learning; Graphics processing unit; Neural networks; Auto encoders; Distributed neural networks; Learning models; Neural-networks; Power; Power efficient; Power-efficient MAC; Tinyml; Ultra-low power; Wearable","Conference paper","Final","","Scopus","2-s2.0-85215080265"
"Zhang Z.; Bai E.; Xu Y.; Adelgais K.; Ozkaynak M.","Zhang, Zhan (55619663000); Bai, Enze (58139659500); Xu, Yincao (59457102300); Adelgais, Kathleen (57205269028); Ozkaynak, Mustafa (25646162000)","55619663000; 58139659500; 59457102300; 57205269028; 25646162000","Can you see what I see? Examining the Impact of Smart Glasses on Communication Dynamics in Distributed Emergency Medical Teams","2025","Proceedings of the ACM on Human-Computer Interaction","9","7","CSCW384","","","1","10.1145/3757565","https://www.scopus.com/pages/publications/105019593164?origin=resultslist","Pace University, New York, NY, United States; Children’s Hospital Colorado, Aurora, CO, United States; University of Colorado, Aurora, CO, United States","Zhang Z., Pace University, New York, NY, United States; Bai E., Pace University, New York, NY, United States; Xu Y., Pace University, New York, NY, United States; Adelgais K., Children’s Hospital Colorado, Aurora, CO, United States, University of Colorado, Aurora, CO, United States; Ozkaynak M., University of Colorado, Aurora, CO, United States","Effective communication is critical for emergency medical teams, especially when distributed providers must collaborate under high-stakes conditions to deliver timely, life-saving care. Traditional communication tools such as radios and phones, while commonly used, are limited to audio-only exchanges—often resulting in misunderstandings, communication breakdowns, and delays in treatment. This study explores the use of smart glasses as an alternative communication tool in prehospital emergency care and examines how their use influences communication dynamics between prehospital providers (e.g., paramedics) and remote emergency physicians, compared to traditional methods (radio and phone). Through simulation-based testing, we found that smart glasses reduced communication breakdowns and facilitated more in-depth, context-rich discussions about patient care. Both EMS providers and physicians viewed the smart glass technology as a promising solution for enabling multimodal communication (e.g., visual, auditory, gestures, text). However, we also identified several challenges associated with its use in near-realistic simulation environments, including the need for overhearing capabilities, issues with visual alignment and motion-induced discomfort, extended interaction times, and concerns around autonomy and privacy. We conclude with a discussion of the design and practical implications of these findings. © 2025 Copyright held by the owner/author(s)","Emergency Care; Prehospital Communication; Smart Glass; Teamwork","Human computer interaction; Interactive computer systems; mHealth; Radio; Communication breakdowns; Communication delays; Communication tools; Condition; Effective communication; Emergency care; Medical teams; Prehospital communication; Smart glass; Teamwork; Glass","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105019593164"
"Pezzoli C.; Paracchini M.B.M.; Crafa D.M.; Carminati M.; Merigo L.; Ongarello T.; Marcon M.","Pezzoli, Carlo (58763644600); Paracchini, Marco Brando Mario (57191923096); Crafa, Daniele Maria (58038959900); Carminati, Marco (7006583185); Merigo, Luca (57192153839); Ongarello, Tommaso (59953322500); Marcon, Marco (7004432686)","58763644600; 57191923096; 58038959900; 7006583185; 57192153839; 59953322500; 7004432686","Design and Implementation of an Eyewear-Integrated Infrared Eye-Tracking System","2026","Sensors","26","7","2065","","","0","10.3390/s26072065","https://www.scopus.com/pages/publications/105035614142?origin=resultslist","Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, 20133, Italy; EssilorLuxottica Smart Eyewear Lab, EssilorLuxottica, Milano, 20121, Italy","Pezzoli C., Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, 20133, Italy; Paracchini M.B.M., Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, 20133, Italy; Crafa D.M., Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, 20133, Italy; Carminati M., Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, 20133, Italy; Merigo L., EssilorLuxottica Smart Eyewear Lab, EssilorLuxottica, Milano, 20121, Italy; Ongarello T., EssilorLuxottica Smart Eyewear Lab, EssilorLuxottica, Milano, 20121, Italy; Marcon M., Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, 20133, Italy","Eye-tracking is a key enabling technology for smart eyewear, supporting hands-free interaction, accessibility, and context-aware human–machine interfaces under strict constraints on size, power consumption, and computational complexity. While camera-based solutions provide high accuracy, their integration into lightweight and low-power wearable platforms remains challenging. This paper is a feasibility study for the design, simulation, and experimental evaluation of a photosensor oculography (PSOG) eye-tracking system that is fully integrated into an eyewear frame, based on near-infrared (NIR) emitters and photodiodes. The proposed approach combines simulation-driven optimization of the optical constellation, a multi-frequency modulation and demodulation scheme enabling parallel source discrimination and robust ambient-light rejection, and a resource-efficient signal acquisition pipeline suitable for embedded implementation. Eye rotations in azimuth and elevation are inferred from differential reflectance patterns of ocular regions (sclera, iris, and pupil) using lightweight regression techniques, including shallow neural networks and Gaussian process regression, selected to balance estimation accuracy with computational and power constraints. System performance is evaluated using a controllable artificial-eye platform under defined geometric and illumination conditions, enabling repeatable assessment of gaze-estimation accuracy and algorithmic behavior. Sub-degree errors are achieved in this controlled setting, demonstrating the feasibility and potential effectiveness of the proposed architecture. Practical considerations for translation to real-world smart eyewear, including human-subject validation, anatomical variability, calibration strategies, and embedded deployment, are discussed and identified as directions for future work. By detailing the optical design methodology, modulation strategy, and algorithmic trade-offs, this work clarifies the distinct contributions of the proposed PSOG system relative to existing frame-integrated and camera-free eye-tracking approaches, and provides a foundation for further development toward wearable and augmented-reality applications. © 2026 by the authors.","assistive technologies; computer vision; eyes; gaze tracking; position measurement; user interfaces","Algorithms; Equipment Design; Eye Movements; Eye-Tracking Technology; Humans; Infrared Rays; Wearable Electronic Devices; Assistive technology; Augmented reality; Behavioral research; Cameras; Eye tracking; Eyeglasses; Human computer interaction; Infrared devices; Optical design; Optical signal processing; Optical variables measurement; Regression analysis; Wearable technology; Algorithmics; Assistive technology; Design and implementations; Eye; Eye tracking systems; Eye-tracking; Eyewear; Gaze-tracking; Optical-; Photosensor; algorithm; devices; equipment design; eye movement; eye-tracking technology; human; infrared radiation; physiology; wearable electronic device; Computer vision; Economic and social effects; Position measurement; User interfaces","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105035614142"
"Ferreira A.A.; de Barros C.A.L.; Pereira T.E.B.; de Santana M.F.A.; Silva I.D.S.; de Oliveira F.S.; de Brito G.G.; Barbosa I.M.B.R.; de Carvalho V.S.; Valadares D.C.G.; Morais R.V.S.; de Aquino R.R.B.","Ferreira, Aida Araujo (55923091300); de Barros, Carlos Alberto Leal (60341139400); Pereira, Thiago Ewerton B. (60341395500); de Santana, Maria Francielly A. (60341519100); Silva, Isaque D.S. (60341519200); de Oliveira, Felipe S. (60340626600); de Brito, Gilmar G. (57212010190); Barbosa, Iona M. B.R. (56735928600); de Carvalho, Vania Soares (56175527500); Valadares, Dalton Cezane Gomes (55927266200); Morais, Ryan Vinicius Santos (57210927164); de Aquino, Ronaldo R.B. (13105289500)","55923091300; 60341139400; 60341395500; 60341519100; 60341519200; 60340626600; 57212010190; 56735928600; 56175527500; 55927266200; 57210927164; 13105289500","Modular Smart Glasses for Real-Time Obstacle Detection in Blind Navigation","2026","IEEE Internet of Things Magazine","","","","","","0","10.1109/MIOT.2025.3643746","https://www.scopus.com/pages/publications/105028030701?origin=resultslist","Federal Institute of Pernambuco, Recife, 50740-545, Brazil; Federal University of Paraíba, Bananeiras, 58220-000, Brazil; Campina Grande, 58429-900, Brazil","Ferreira A.A., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; de Barros C.A.L., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; Pereira T.E.B., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; de Santana M.F.A., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; Silva I.D.S., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; de Oliveira F.S., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; de Brito G.G., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; Barbosa I.M.B.R., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; de Carvalho V.S., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; Valadares D.C.G., Federal University of Paraíba, Bananeiras, 58220-000, Brazil, Campina Grande, 58429-900, Brazil; Morais R.V.S., Federal Institute of Pernambuco, Recife, 50740-545, Brazil; de Aquino R.R.B., Federal Institute of Pernambuco, Recife, 50740-545, Brazil","This paper describes an innovative assistive device that attaches to eyeglasses to aid the mobility of blind individuals. The device employs infrared or ultrasonic sensors to detect environmental obstacles, converting this information into tactile and auditory feedback, providing users with a broader and more accurate spatial awareness. The collected data is processed and translated into tactile signals (vibration) or auditory signals (via sound transducers). The interval of these signals varies based on the distance from obstacles, enabling users to make quick and safe decisions in real time (empirical tests indicated an average detection accuracy above 92% and a latency of approximately 120–150 ms between detection and feedback). Currently, the most common mobility aids for visually impaired individuals are white canes and guide dogs, which have significant limitations. Canes are restricted to detecting obstacles from waist level downward and have a short range, while guide dogs are expensive and require extensive training. Hence, developing a portable and discreet technology capable of detecting obstacles beyond the reach of traditional canes is essential to improve the independence and safety of these individuals. The device was designed to be lightweight, comfortable, and aesthetically discreet, without compromising the user’s autonomy or quality of life. Financial accessibility is also prioritized, with efforts to utilize low-cost materials and technologies to enable large-scale production, benefiting as many individuals as possible. By addressing a recurrent challenge with a practical solution, this project offers a novel approach to mobility, autonomy, and inclusion for visually impaired individuals, expanding their ability to interact with their surroundings. © 2018 IEEE.","Assistive technology; inclusion; sensor-equipped glasses","Assistive technology; Glass; Mobility aids for blind persons; Tactile sensors; Ultrasonic testing; Vision aids; Assistive devices; Assistive technology; Blind navigation; Guide dogs; Modulars; Obstacles detection; Real- time; Sensor-equipped glass; Smart glass; Visually impaired; Inclusions","Article","Article in press","","Scopus","2-s2.0-105028030701"
"Huh M.; Xue Z.; Das U.; Ashutosh K.; Grauman K.; Pavel A.","Huh, Mina (57224013715); Xue, Zihui (57222956828); Das, Ujjaini (59964798500); Ashutosh, Kumar (57205095020); Grauman, Kristen (6506707692); Pavel, Amy (56121790600)","57224013715; 57222956828; 59964798500; 57205095020; 6506707692; 56121790600","Vid2Coach: Transforming How-To Videos into Task Assistants","2025","UIST 2025 - Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","","","46","","","0","10.1145/3746059.3747612","https://www.scopus.com/pages/publications/105022976934?origin=resultslist","The University of Texas at Austin, Austin, TX, United States; University of California, Berkeley, Berkeley, CA, United States","Huh M., The University of Texas at Austin, Austin, TX, United States; Xue Z., The University of Texas at Austin, Austin, TX, United States; Das U., The University of Texas at Austin, Austin, TX, United States; Ashutosh K., The University of Texas at Austin, Austin, TX, United States; Grauman K., The University of Texas at Austin, Austin, TX, United States; Pavel A., University of California, Berkeley, Berkeley, CA, United States","People use videos to learn new recipes, exercises, and crafts. Such videos remain difficult for blind and low vision (BLV) people to follow as they rely on visual comparison. Our observations of visual rehabilitation therapists (VRTs) guiding BLV people to follow how-to videos revealed that VRTs provide both proactive and responsive support including detailed descriptions, non-visual workarounds, and progress feedback. We propose Vid2Coach, a system that transforms how-to videos into wearable camera-based assistants that provide accessible instructions and mixed-initiative feedback. From the video, Vid2Coach generates accessible instructions by augmenting narrated instructions with demonstration details and completion criteria for each step. It then uses retrieval-augmented-generation to extract relevant non-visual workarounds from BLV-specific resources. Vid2Coach then monitors user progress with a camera embedded in commercial smart glasses to provide context-aware instructions, proactive feedback, and answers to user questions. BLV participants (N=8) using Vid2Coach completed cooking tasks with 58.5% fewer errors than when using their typical workflow and wanted to use Vid2Coach in their daily lives. Vid2Coach demonstrates an opportunity for AI visual assistance that strengthens rather than replaces non-visual expertise.  © 2025 Copyright held by the owner/author(s).","Accessibility; How-To Videos; Task Assistant; Video Understanding","Artificial intelligence; Behavioral research; Feedback; Human engineering; Information use; Interactive computer graphics; Vision aids; Wearable technology; Accessibility; How-to video; Learn+; Low vision; Non visuals; Task assistant; Video understanding; Visual comparison; Visual rehabilitation; Wearable cameras; Cameras","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022976934"
"Wu L.; Lafreniere B.; Grossman T.; White T.; Santosa S.","Wu, Liwei (57224001857); Lafreniere, Ben (57203238790); Grossman, Tovi (7003520062); White, Thomas (57191988637); Santosa, Stephanie (57196512534)","57224001857; 57203238790; 7003520062; 57191988637; 57196512534","Body Language for VUIs: Exploring Gestures to Enhance Interactions with Voice User Interfaces","2024","Proceedings of the 2024 ACM Designing Interactive Systems Conference, DIS 2024","","","","133","150","3","10.1145/3643834.3660691","https://www.scopus.com/pages/publications/85200396730?origin=resultslist","University of Waterloo, Waterloo, Canada; Meta Reality Lab Research, Toronto, Canada; University of Toronto, Toronto, Canada","Wu L., University of Waterloo, Waterloo, Canada; Lafreniere B., Meta Reality Lab Research, Toronto, Canada; Grossman T., University of Toronto, Toronto, Canada; White T., Meta Reality Lab Research, Toronto, Canada; Santosa S., Meta Reality Lab Research, Toronto, Canada","With the progress in Large Language Models (LLMs) and rapid development of wearable smart devices like smart glasses, there is a growing opportunity for users to interact with on-device virtual assistants through voice and gestures with ease. Although voice user interfaces (VUIs) have been widely studied, the potential uses of full-body gestures in VUIs that can fully understand users’ surroundings and gestures are relatively unexplored. In this two-phase research using a Wizard-of-Oz approach, we aim to investigate the role of gestures in VUI interactions and explore their design space. In an initial exploratory user study with six participants, we identify infuential factors for VUI gestures and establish an initial design space. In the second phase, we conducted a user study with 12 participants to validate and refne our initial fndings. Our results showed that users are open and ready to adopt and utilize gestures to interact with multi-modal VUIs, especially in scenarios with poor voice capture quality. The study also highlighted three key categories of gesture functions for enhancing multi-modal VUI interactions: context reference, alternative input, and fow control. Finally, we present a design space for multi-modal VUI gestures along with demonstrations to enlighten future design for coupling multi-modal VUIs with gestures. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.","design space; gesture interaction; voice user interface; Wizard-of-Oz study","Wearable technology; Body language; Design spaces; Gesture interaction; Interface interaction; Language model; Modal voices; Multi-modal; User study; Voice user interface; Wizard-of-oz studies; User interfaces","Conference paper","Final","","Scopus","2-s2.0-85200396730"
"Lan B.; Li P.; Yin J.; Song Y.; Wang G.; Ding H.; Han J.; Wang F.","Lan, Bo (58663997200); Li, Pei (59637295600); Yin, Jiaxi (59638457700); Song, Yunpeng (56018007300); Wang, Ge (57191542011); Ding, Han (7402286410); Han, Jinsong (8869746900); Wang, Fei (58610445200)","58663997200; 59637295600; 59638457700; 56018007300; 57191542011; 7402286410; 8869746900; 58610445200","XRF V2: A Dataset for Action Summarization with Wi-Fi Signals, and IMUs in Phones, Watches, Earbuds, and Glasses","2025","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","9","3","","","","3","10.1145/3749521","https://www.scopus.com/pages/publications/105015368382?origin=resultslist","State Key Laboratory of Integrated Services Networks, Xidian University, China; Xi’an Jiaotong University, China; Zhejiang University, China","Lan B., State Key Laboratory of Integrated Services Networks, Xidian University, China, Xi’an Jiaotong University, China; Li P., Xi’an Jiaotong University, China; Yin J., Xi’an Jiaotong University, China; Song Y., Xi’an Jiaotong University, China; Wang G., Xi’an Jiaotong University, China; Ding H., Xi’an Jiaotong University, China; Han J., Zhejiang University, China; Wang F., State Key Laboratory of Integrated Services Networks, Xidian University, China, Xi’an Jiaotong University, China","Human Action Recognition (HAR) plays a crucial role in applications such as health monitoring, smart home automation, and human-computer interaction. While HAR has been extensively studied, action summarization using Wi-Fi and IMU signals in smart-home environments, which involves identifying and summarizing continuous actions, remains an emerging task. This paper introduces the novel XRF V2 dataset, designed for indoor daily activity Temporal Action Localization (TAL) and Action Summarization. XRF V2 integrates multimodal data from Wi-Fi signals, IMU sensors (smartphones, smartwatches, earbuds, and smart glasses), and synchronized video recordings, offering a diverse collection of indoor activities from 16 volunteers across three environments. To tackle TAL and action summarization, we propose the XRFMamba neural network, which captures long-term dependencies in untrimmed sensory sequences and achieves the best performance with an average mAP of 78.74, outperforming the recent WiFiTAD by 5.49 points in mAP@avg while using 35% fewer parameters. In action summarization, we introduce a new metric, Response Meaning Consistency (RMC), to evaluate performance. It achieves an average RMC (mRMC) of 0.802. We envision XRF V2 as a valuable resource for advancing research in human action localization, action forecasting, pose estimation, multimodal foundation model pre-training, synthetic data generation, and more. The data and code are available at https://github.com/aiotgroup/XRFV2. © 2025 Copyright held by the owner/author(s). Publication rights licensed to ACM.","","Automation; Glass; Human computer interaction; Indoor positioning systems; Intelligent buildings; Interactive computer graphics; mHealth; Neural networks; Smart homes; Smartphones; Wearable computers; Wearable sensors; Wi-Fi; Wireless local area networks (WLAN); Computer interaction; Health monitoring; Home automation; Human-action recognition; Localisation; Multi-modal; Performance; Smart homes; WI - FI; Wi-Fi signals; Video recording","Article","Final","","Scopus","2-s2.0-105015368382"
"Obiso J.-J.; Debabao R.V.; Jumao-As D.D.A.; Mayorga J.M.B.; Reyes M.A.C.; Tadle J.; De Villa R.; Jueco J.C.; Palconit M.G.B.","Obiso, Jun-Jun (57216349896); Debabao, Rommel V. (60395930700); Jumao-As, Darich Dave A. (60397243600); Mayorga, Jizsa Marie B. (60397679900); Reyes, Maria Angelica C. (60397680000); Tadle, Joel (57216809338); De Villa, Rafran (60395493800); Jueco, Jayson C. (59238278100); Palconit, Maria Gemel B. (57202289323)","57216349896; 60395930700; 60397243600; 60397679900; 60397680000; 57216809338; 60395493800; 59238278100; 57202289323","Kita-Kita: A Smart Eyewear for Enhanced Indoor Perception of Visually Impaired Students Equipped with AI Machine Vision Sensor","2024","2024 IEEE 16th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management, HNICEM 2024","","","","","","0","10.1109/HNICEM64917.2024.11258797","https://www.scopus.com/pages/publications/105030200179?origin=resultslist","Cebu Technological University, Department of Computer Engineering, Cebu City, Philippines; Cebu Technological University, Department of Electrical Engineering, Cebu City, Philippines; Cebu Technological University, Department of Electronics Engineering, Cebu City, Philippines; Cebu Technological University, Sustainable Center for Engineering and Next-generation Technology, Cebu City, Philippines","Obiso J.-J., Cebu Technological University, Department of Electronics Engineering, Cebu City, Philippines; Debabao R.V., Cebu Technological University, Department of Electronics Engineering, Cebu City, Philippines; Jumao-As D.D.A., Cebu Technological University, Department of Electronics Engineering, Cebu City, Philippines; Mayorga J.M.B., Cebu Technological University, Department of Electronics Engineering, Cebu City, Philippines; Reyes M.A.C., Cebu Technological University, Department of Electronics Engineering, Cebu City, Philippines; Tadle J., Cebu Technological University, Department of Electronics Engineering, Cebu City, Philippines; De Villa R., Cebu Technological University, Department of Computer Engineering, Cebu City, Philippines; Jueco J.C., Cebu Technological University, Department of Electrical Engineering, Cebu City, Philippines; Palconit M.G.B., Cebu Technological University, Department of Electronics Engineering, Cebu City, Philippines, Cebu Technological University, Sustainable Center for Engineering and Next-generation Technology, Cebu City, Philippines","Students with visual impairments face significant challenges in accessing educational resources and navigating their surroundings independently. This study addresses these issues by developing a smart eyewear tailored for visually impaired students. The objectives include enhancing indoor perception through text recognition, object detection, obstacle detection, and facial recognition, all providing auditory feedback. This study focuses on integrating a Raspberry Pi 4, HuskyLens AI Machine Vision Camera, and HC-SR04 ultrasonic sensors to create an assistive smart eyewear for visually impaired students. Experiments showed that text recognition is optimal for larger fonts at medium distances. Object recognition achieved high precision and recall. Obstacle detection reliably activated a buzzer with respect to its threshold distance. Facial recognition successfully identified faces within specific angular shifts and distances. The proposed smart eyewear enhances autonomy and safety for visually impaired students, promoting educational accessibility and inclusivity. By reducing dependence on external assistance, this technology empowers visually impaired individuals to navigate academic and social environments with greater confidence and independence.  © 2024 IEEE.","educational accessibility; HuskyLens; object detection; smart eyewear; text recognition; Vision impairment","Computer vision; Eyeglasses; Human rehabilitation equipment; Machine vision; Object recognition; Students; Ultrasonic applications; Educational accessibility; Eyewear; Facial recognition; Huskylens; Objects detection; Obstacles detection; Smart eyewear; Text recognition; Vision impairments; Visually impaired students; Character recognition; Object detection","Conference paper","Final","","Scopus","2-s2.0-105030200179"
"Cai Y.; Lu T.; Li Z.; Zhou H.; Dehaan K.; Xu X.; Gowda M.; Jin Y.","Cai, Yongxiang (60211697800); Lu, Taiting (57225964534); Li, Zhenghao (60211749300); Zhou, Hao (57221065043); Dehaan, Kenneth (57224102032); Xu, Xuhai (59444037700); Gowda, Mahanth (56368104500); Jin, Yincheng (60115820200)","60211697800; 57225964534; 60211749300; 57221065043; 57224102032; 59444037700; 56368104500; 60115820200","SignGlass: First-Person View Comprehensive and Generalizable ASL Translation Using Wearable Glass","2025","UIST 2025 - Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","","","204","","","0","10.1145/3746059.3747782","https://www.scopus.com/pages/publications/105022976930?origin=resultslist","Computer Science, Binghamton University, Binghamton, NY, United States; Pennsylvania State University, State College, PA, United States; Department of ASL Studies, Gallaudet University, Washington, DC, United States; Department of Biomedical Informatics, Columbia University, New York City, NY, United States; Computer Science and Engineering, Pennsylvania State University, University Park, PA, United States","Cai Y., Computer Science, Binghamton University, Binghamton, NY, United States; Lu T., Pennsylvania State University, State College, PA, United States; Li Z., Pennsylvania State University, State College, PA, United States; Zhou H., Pennsylvania State University, State College, PA, United States; Dehaan K., Department of ASL Studies, Gallaudet University, Washington, DC, United States; Xu X., Department of Biomedical Informatics, Columbia University, New York City, NY, United States; Gowda M., Computer Science and Engineering, Pennsylvania State University, University Park, PA, United States; Jin Y., Computer Science, Binghamton University, Binghamton, NY, United States","Communication barriers between Deaf and Hard-of-Hearing (DHH) individuals and hearing individuals remain a major challenge, highlighting the need for technologies that enable seamless sign language interpretation. However, current American Sign Language (ASL) recognition and translation systems face key limitations, including poor portability, complex usage settings, incomplete capture of essential components, and weak generalization, reducing practicality and user acceptance. To address these challenges, we present SignGlass, the first smart glasses equipped with three wearable cameras for comprehensive capture of both manual and non-manual ASL markers, supported by advanced algorithms for real-time recognition and translation into English. Specifically, SignGlass integrates a jitter-aware spatio-temporal attention mechanism for robust recognition of hand movement patterns. Complementing this, a dual-camera, temporally-aware facial module captures the subtle facial expressions essential for ASL comprehension. To support diverse signing styles across individuals, we further introduce a cascaded data augmentation strategy to improve model generalization. In a user study with 14 Deaf participants, SignGlass achieved high translation accuracy and was well-received, demonstrating its effectiveness in bridging communication gaps. This work highlights the promise of multi-camera wearable systems in advancing ASL translation and promoting more accessible communication.  © 2025 Copyright held by the owner/author(s).","ASL Recognition and Translation; Smart Glass; Wearable Cameras","Cameras; Face recognition; Glass; Palmprint recognition; Translation (languages); Wearable computers; American sign language; American sign language recognition and translation; Communication barriers; First person; Hard of hearings; Language translation; Sign language; Sign Language recognition; Smart glass; Wearable cameras; Audition","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022976930"
